"main_id","ra","dec","rvz_redshift","radial_velocity","rv_norm","ang_dist"
"[LVN2023] 7274",214.806671,52.837802,7.77,2329387.39866,-0.889678268553209,1.629207594449
"CANDELS EGS F160W J141930.3+525238.9",214.87622,52.877463,8.703,2609093.761974,0.0200993879528974,1.62920802243245
"[CSM2024] z7 F410M  8",214.9110902,52.8973152,7.41,2221462.11378,-1.24071787878065,1.62920833714692
"CANDELS EGS F160W J141930.3+525239.6",214.876417,52.877678,8.642,2590806.422036,-0.0393823237800859,1.62920932928998
"[FLB2024] CEERS-20174",214.885146,52.88365,8.56,2566223.44048,-0.119341346109668,1.62922210778999
"CANDELS EGS F160W J141829.8+524410.4",214.62423,52.736222,9.402,2818648.690116,0.701701297811168,1.62924413754422
"[CSM2024] DDT-434",214.89801,52.8929639,7.47,2239449.66126,-1.18221127707607,1.6292474993555
"[FBF2023] CEERS2 7534",214.876144,52.880826,7.69,2305404.00202,-0.967687070825972,1.62925127902632
"[LOQ2022] EGSY-69674",214.967583333333,52.933,8.715,2612691.27147,0.0318007082938124,1.62925436092355
"CANDELS EGS F160W J141849.8+524710.4",214.707583,52.786212,8.427,2526351.043566,-0.249030979888138,1.6292716594454
"[HOO2023] CR2-z12-2",214.927375,52.9116666666667,11.96,3585517.79768,3.19603275048279,1.62927315831406
"[WSE2024] EGS-37216",214.785875,52.8313944444444,8.7,2608194.3846,0.0171740578676675,1.62927688718369
"[ADF2023b] MSA ID   64",214.922791666667,52.911525,11.1168,3332732.7970944,2.37381997452786,1.62930442817003
"CANDELS EGS F160W J142005.1+525802.5",215.021208333333,52.9673888888889,8.3,2488277.4014,-0.37286995349615,1.62930550615967
"CANDELS EGS F160W J141910.5+525029.6",214.793958333333,52.8415833333333,7.6,2278422.6808,-1.05544697338283,1.62934760582444
"[FLB2024] CEERS-17898",214.873638,52.887711,9.07,2719117.59406,0.377964768379201,1.62935681686954
"[CSM2024] z7 F410M 12",214.8369751,52.8670006,7.37,2209470.41546,-1.27972227991703,1.62935887972357
"[CSM2024] z7 F410M 10",214.8425293,52.8711929,7.41,2221462.11378,-1.24071787878065,1.62937193231911
"[DMD2023] CEERS-1434-2",214.858791666667,52.8812166666667,9.16,2746098.91528,0.46572467093606,1.6293816301526
"[FLB2024] CEERS-10545",214.997038,52.960082,8.89,2665154.95162,0.202444963265483,1.62938654562205
"[HOO2023] CR2-z12-3",214.923375,52.9187777777778,11.66,3495580.06028,2.90349974195992,1.62939237669918
"[ADF2023b] MSA ID  355",214.944766,52.93145,7.925,2375855.22965,-0.73853621414973,1.62939914194639
"[WSE2024] EGS-95370",214.92325,52.9193166666667,8.7,2608194.3846,0.0171740578676675,1.62940012585993
"CANDELS EGS F160W J142021.0+530047.0",215.087655,53.01305,7.358,2205872.905964,-1.29142360025794,1.62940893459305
"[FLB2024] CEERS-16984",214.866488,52.887854,10.63,3186793.82854,1.89913641269809,1.62941028994996
"[CSM2024] z7 F410M 37",214.9827271,52.9560814,7.42,2224460.03836,-1.23096677849655,1.62943872449809
"[CSM2024] DDT-449",214.940489,52.9325555,7.54,2260435.13332,-1.1139535750874,1.62944403017294
"[FLB2024] CEERS-26109",214.809675,52.858695,9.43,2827042.87894,0.729004378606637,1.62945095373391
"[FLB2024] CEERS-26112",214.818999,52.865299,11.38,3411638.17204,2.63046893400525,1.6294672980851
"CANDELS EGS F160W J142015.6+530021.4",215.065049,53.005953,9.492,2845630.011336,0.78946120036803,1.62948098561921
"[DMD2023] CEERS-61486",214.848875,52.8836055555556,11.15,3342685.9067,2.40619362747106,1.62948362951152
"[ADF2023] CEERS MSA     9",215.044,52.9943083333333,10.6,3177800.0548,1.8698831118458,1.6294840771103
"CANDELS EGS F160W J142023.5+530130.3",215.097791666667,53.0251388888889,9.1,2728111.3678,0.407218069231486,1.62949007398643
"CANDELS EGS F160W J142012.1+525955.2",215.05045,52.998655,7.477,2241548.208466,-1.17538550687721,1.62949302301798
"[HOO2023] CR2-z12-4",214.853583333333,52.8871944444444,12.08,3621492.89264,3.31304595389193,1.62949516326691
