"source_id","ra","dec","parallax","radial_velocity","pmra","pmdec","phot_g_mean_mag","distance","ang_dist_sgra","dist_to_sgra"
5943642753740583936,248.193997765903,-46.0425980661385,0.178801527673745,-0.734400314523993,-0.301184957991075,-0.17756856542227,13.7662,-0.286807123582682,0.387961666813795,3527.74138591354
2171415794201908736,323.870239987951,50.8692132035471,0.191319954533237,-0.716376712751446,-0.756558808535586,-0.352509959747681,15.35515,-0.320400289733716,1.6501151823025,9896.78576406949
5338054190406483968,165.424249239018,-60.9017827941653,0.150439075999678,-0.711578877664281,-1.21385970134126,1.4835606748559,15.7236395,-0.190013987246766,1.22108439859249,8470.25125090275
2227118049684111360,346.821759529303,70.003950414398,0.801855498878911,-0.711381922200933,-0.211522696444805,0.803921530159453,14.858129,-0.685731897281937,1.98870202461404,8582.15823392857
4144764764877273088,268.416535340281,-17.0016595096629,0.815185306926014,-0.704543421191938,0.975374527073311,0.993710927905225,14.794636,-0.687603889832671,0.211981386438271,6805.6397119536
5711760428653910016,117.052152155616,-22.3794989930017,0.584565623069851,-0.675702921711531,-0.302530388807514,0.883517610088001,14.665373,-0.643177662659882,2.10735703240959,8995.43562881144
4058452930308132864,263.531126849712,-30.4972773503858,0.584256866813445,-0.67029120754334,-0.399101024242456,-0.885335207803623,15.149492,-0.643094675415294,0.050866742047636,6291.23978525037
3329182326844645376,94.5831616022197,10.0170231305962,0.562626741173977,-0.641852808190473,-0.413119326615418,1.27695916950567,14.705921,-0.637054250051908,2.78427395945467,9685.08668130357
4061048057008094720,266.064989893212,-26.4029180136638,0.116804008657033,-0.639703609442263,0.222969866251463,-0.999675329435359,16.381466,-0.0142999035202655,0.0457877572403236,677.259910127112
5333035400863169536,178.770062648274,-63.1394070209033,0.08376145024058,-0.63653625460931,-1.20798163483298,1.18444814609269,14.501423,0.295730586226708,1.10533655942607,10990.7296989244
4290226549777108480,295.182824319124,4.44261896638843,0.853144188996523,-0.635032966120113,-0.13197804785118,-0.584283090286189,14.686723,-0.692614231113907,0.757201973720279,7193.3381738223
6768112479833106432,293.812301128892,-24.6433638120783,1.21139056882049,-0.630730733175194,1.71213018694655,2.4261190545242,14.417144,-0.724434794235846,0.432421737220245,7258.73480415932
4148047120720805888,267.501059112938,-15.7062147753148,0.19613540839927,-0.629824012418399,-1.18163763978277,-1.24482522303976,14.077555,-0.332180515919532,0.232810878316419,3258.73936863656
5884355132589671424,235.70645590203,-55.4361036244853,0.300258377774394,-0.625588122366398,-0.674959208969385,-0.172379727033681,15.798283,-0.494484089661099,0.598980103484112,5575.06155360327
6105774406200586240,217.745845787313,-39.9007502781699,1.089815705653,-0.62373985083403,-2.54986271802835,0.0878753818157922,14.605283,-0.715981242504184,0.716474640088211,7332.82747932693
4253521480074916864,281.451649265139,-5.69111139573021,0.187177191524737,-0.620402595998747,0.347897039711813,0.169851124378312,15.497302,-0.309780655231913,0.476640588419715,4073.04458846192
4067901622228585472,265.640583064814,-25.4978549382897,0.0325347746107381,-0.615092987689187,0.348918224549021,1.00630924913386,16.09879,2.02131757862728,0.0624323689762994,22757.4037673942
867513647819873408,116.656690628954,23.5390937743179,0.654184213666301,-0.614496419956782,1.37040376991554,-0.823645817388816,14.490081,-0.65988951427659,2.66018900132801,9381.62459094631
2207804440750917632,348.872286488027,64.1819120111946,0.317933457410016,-0.613784270465622,-0.00796095811133852,0.639772383955607,14.867766,-0.511480714490241,1.96764658566658,9661.48905367569
4079435464826975232,278.999618927434,-22.4078392393126,1.00594114642715,-0.603929759348143,-1.28593624265424,-0.442214899381904,15.60348,-0.708958006026795,0.228735022024859,7035.41003659236
6710802394738241536,284.479642717946,-46.0657506207708,0.0653085898845118,-0.590437791804931,-0.861764341794348,0.0852315966640557,14.713921,0.605388280803569,0.386844604867493,8459.78768179742
4103418557837906944,279.350556293797,-15.2353389382588,0.19889409961564,-0.58477739544907,0.0892466656515739,0.0941733586690809,15.299613,-0.338672207288572,0.318069850710137,3587.34058783284
4510483566596988928,281.048337448191,15.4253542050272,0.705564819718178,-0.581223385943334,-0.411839574622423,-0.551412829410675,14.367995,-0.670108197123308,0.813818389978656,7101.82482295408
4051490513434383872,275.442570336299,-28.0412425271696,0.0478694355049741,-0.578356854665455,0.550291584218592,-1.68005369009507,15.329744,1.11745846004975,0.139395662995294,13015.3078461949
1813246136228020736,311.980410948794,19.1066806028913,0.104274590489672,-0.566571972685623,0.0812716727949805,-0.889373025696062,14.820308,0.0801338688708283,1.13753972652074,9568.1962002493
4049046818783193088,272.263375695936,-31.5784942823887,0.0704068708586549,-0.559278400895523,-0.832512957865965,-0.412716295985813,15.805202,0.503606254576757,0.098852218994431,6291.94723683167
4203412547680676864,282.508006875436,-9.42841106586799,0.237586088937014,-0.552742174692383,0.267426019523489,-0.953739172391209,15.964843,-0.41383637052848,0.431409008941074,4532.31779128939
5972735423411226624,259.693985644774,-38.2887613046756,0.113880868408076,-0.54915592668712,0.00648081266282657,0.0547107148656647,15.064639,0.00587325078806263,0.18901653590893,1764.21702654139
5959874367214708736,260.633526158658,-40.8678115735984,0.169245823193518,-0.548545364750741,0.11903202113546,-0.96411512046424,15.491753,-0.257819927958547,0.222782389968372,2590.45225851385
5848315134292110336,217.813474533087,-67.7142523080146,1.80977237854262,-0.543134687190251,-1.23327043450957,-1.47562793361977,14.568339,-0.749490285069132,0.839253608330155,7641.95261211283
5540434870422980608,124.926369794305,-38.3478687624458,0.390410314473385,-0.532253001501026,-0.393510867871308,1.86362800646767,14.82048,-0.565081914405996,1.80887345441635,8956.89118486007
4039900978036473856,267.854182083375,-37.3773004466117,0.866821735695015,-0.52912244624149,2.37074569791688,-1.23192496780676,14.677286,-0.694312039413244,0.147569893286577,6860.99597042283
4469734123780040704,270.532816862078,4.26626209802347,0.48882277326082,-0.528176541713566,2.28578575534545,1.44016445875345,14.607203,-0.612419929600983,0.584829325004013,6394.7727438433
3167281644838623232,108.10361930872,14.1398220432312,0.872824348540235,-0.522631208812609,-1.49782205829265,0.509123314309005,14.858146,-0.695040349564604,2.70569706063952,9051.50918388511
2128166023276246528,293.845479773449,46.4376962649451,0.162141964827769,-0.521017521603165,-0.261687866330222,1.56601099752087,14.263015,-0.234056254348944,1.38620062926983,9161.04890475787
