"metadata.name","metadata.description","metadata.datatype","metadata.arraysize","metadata.ucd","metadata.unit","data.1","data.2","data.3","data.4"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 31765","150.154008","2.278723","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 32307","150.128091","2.298549","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 32404","150.08081","2.302067","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 32447","150.154726","2.30397","9.89"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 32825","150.130002","2.317489","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 33038","150.130025","2.32601","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 33282","150.090318","2.334803","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 33710","150.182539","2.349579","9.89"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 35495","150.167624","2.413655","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 37052","150.132386","2.482754","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 37270","150.20218","2.493584","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 38476","150.155073","2.545523","9.89"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[DMD2023] SMACS-7606","110.623166666667","-73.4849138888889","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[DMD2023] SMACS-3763","110.70475","-73.4919944444444","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","COSMOS2015 928850","149.356083333333","2.71144722222222","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 32821","150.144568","2.317382","9.88"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 29511","150.183667","2.196275","9.88"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 30138","150.158945","2.219484","9.88"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[CCG2019] NGP4.08","198.60419","26.52156","9.88"
