"metadata.name","metadata.description","metadata.datatype","metadata.arraysize","metadata.ucd","metadata.unit","data.1","data.2","data.3","data.4"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[ACW2023] 81198","3.451367","-30.320717","10.5"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[CCG2019] NGP8.04","202.33564","28.19761","10.49"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[ADF2023] CEERS MSA 80099","214.771106","52.780817","10.48"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","SB-NI 0605-0952","338.213041666667","-60.6406388888889","10.47"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","sBoRG 1442-0212   245","220.5278","-2.2053","10.45"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[DMD2023] SMACS-4063","110.717958333333","-73.4923305555556","10.45"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"JADES-GN+189.08668+62.23957","189.086676","62.239566","10.45"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","JADES-GN+189.11621+62.22008","189.116208","62.220076","10.45"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[DMD2023] CEERS-6647","214.811125","52.8138222222222","10.45"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[DMD2023] CEERS-3710","214.850125","52.80805","10.45"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[ACW2023] 26928","3.51191666666667","-30.3718388888889","10.45"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[YML2023] F150DB-026","110.848916666667","-73.4612777777778","10.38"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[ACW2023] 52008","3.478739","-30.345535","10.37"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"NAME NGP6 D1","200.741291666667","33.4039027777778","10.35"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"JADES-GN+189.05166+62.25070","189.051657","62.250698","10.34"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[FLB2024] CEERS-101746","214.881212","52.772963","10.33"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[HOO2023] GL-z9-7","3.5105","-30.3658333333333","10.32"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[CCG2019] NGP7.12","204.30403","32.11897","10.3"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[STB2016] GLASS MACS1423 01018","215.95813271","24.077013896","10.27"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[LBF2023] NGDEEP  1716","53.251057","-27.796992","10.27"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","UNCOVER DR2 38095","3.590115","-30.359743","10.255"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"UNCOVER DR2 37126","3.54652917689","-30.36144547703","10.25"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"CANDELS UDS F160W J021713.09-051555.3","34.3045","-5.26538888888889","10.2"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[AAC2023] NGD-z10","53.26392","-27.81703","10.2"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[DMD2023] GLASS-6415","3.50116666666667","-30.3571861111111","10.19"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[CCG2019] Bootes1.09","218.61564","35.57694","10.18"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[CZC2013] MACS0647-JD2","101.9713","70.2397055555556","10.1761"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[IZL2015] 8958","64.025406","-24.082251","10.112"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[WES2023] EGS-7860","214.752666666667","52.83665","10.11"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[FLB2024] CEERS-98518","214.817113","52.748343","10.09"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[CFT2023] UHZ1","3.567067","-30.377869","10.071"
